,title,year,rating,genre,movie_length,votes
145,Captain America: Civil War,(2016),7.8,"Action, Adventure, Sci-Fi",147 min,"740,492"
146,Catch Me If You Can,(2002),8.1,"Biography, Crime, Drama",141 min,"923,153"
147,Memento,(2000),8.4,"Mystery, Thriller",113 min,"1,195,347"
148,Spirited Away,(2001),8.6,"Animation, Adventure, Family",125 min,"720,114"
149,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,"Action, Adventure, Fantasy",124 min,"1,235,842"
150,Stardust,(2007),7.6,"Adventure, Family, Fantasy",127 min,"267,466"
151,The Shining,(1980),8.4,"Drama, Horror",146 min,"972,467"
152,Once Upon a Time in America,(1984),8.3,"Crime, Drama",229 min,"338,785"
153,Almost Famous,(2000),7.9,"Adventure, Comedy, Drama",122 min,"270,042"
154,Another Round,(2020),7.7,"Comedy, Drama",117 min,"135,302"
155,Drive,(I) (2011),7.8,"Action, Drama",100 min,"610,460"
156,Serenity,(2005),7.8,"Action, Adventure, Sci-Fi",119 min,"292,437"
157,Ex Machina,(2014),7.7,"Drama, Sci-Fi, Thriller",108 min,"518,580"
158,The Terminator,(1984),8.0,"Action, Sci-Fi",107 min,"833,042"
159,Arrival,(II) (2016),7.9,"Drama, Sci-Fi",116 min,"661,125"
160,Her,(2013),8.0,"Drama, Romance, Sci-Fi",126 min,"583,587"
161,Dazed and Confused,(1993),7.6,Comedy,102 min,"177,884"
162,Into the Wild,(2007),8.1,"Adventure, Biography, Drama",148 min,"606,914"
163,True Romance,(1993),7.9,"Crime, Drama, Romance",119 min,"221,175"
164,The Hateful Eight,(2015),7.8,"Crime, Drama, Mystery",168 min,"570,462"
165,Coco,(I) (2017),8.4,"Animation, Adventure, Comedy",105 min,"463,948"
166,Blue Is the Warmest Colour,(2013),7.7,"Drama, Romance",180 min,"147,987"
167,The Lion King,(1994),8.5,"Animation, Adventure, Drama",88 min,"1,011,396"
168,The Pianist,(2002),8.5,"Biography, Drama, Music",150 min,"795,001"
169,Midnight in Paris,(2011),7.7,"Comedy, Fantasy, Romance",94 min,"412,140"
170,The Great Escape,(1963),8.2,"Adventure, Drama, History",172 min,"238,803"
171,A Clockwork Orange,(1971),8.3,"Crime, Sci-Fi",136 min,"802,341"
172,Pan's Labyrinth,(2006),8.2,"Drama, Fantasy, War",118 min,"650,719"
173,Casino,(1995),8.2,"Crime, Drama",178 min,"500,456"
174,Zootopia,(2016),8.0,"Animation, Adventure, Comedy",108 min,"474,335"
175,The Fugitive,(1993),7.8,"Action, Crime, Drama",130 min,"285,672"
176,The Breakfast Club,(1985),7.8,"Comedy, Drama",97 min,"381,345"
177,Jai Bhim,(2021),9.3,"Crime, Drama, Mystery",164 min,"175,465"
178,Casino Royale,(2006),8.0,"Action, Adventure, Thriller",144 min,"638,707"
179,The Exorcist,(1973),8.0,Horror,122 min,"385,916"
180,Moneyball,(2011),7.6,"Biography, Drama, Sport",133 min,"405,283"
181,12 Years a Slave,(2013),8.1,"Biography, Drama, History",134 min,"679,119"
182,Star Trek,(2009),7.9,"Action, Adventure, Sci-Fi",127 min,"595,590"
183,Amélie,(2001),8.3,"Comedy, Romance",122 min,"737,493"
